trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.9, 'e': 0.578914778288305}",25,0,-189.17490293211029,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
20,False,"{'a': 0.9, 'e': 0.5634932073314907}",30,0,-105.73446198277246,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.9, 'e': 0.5484824478787103}",25,0,-83.45207899334906,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.9, 'e': 0.5338715564215288}",30,8,-80.15272595007185,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 2}",1
23,False,"{'a': 0.9, 'e': 0.5196498809729894}",25,0,-234.15010018040064,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 5}",0
24,False,"{'a': 0.9, 'e': 0.5058070533018427}",20,0,-17.018407253138022,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.9, 'e': 0.4923329813736481}",25,0,-142.95178056173947,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.9, 'e': 0.47921784199323236}",30,7,-98.31000481260915,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 1}",1
27,False,"{'a': 0.9, 'e': 0.4664520736431461}",20,0,-156.34261762785144,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.9, 'e': 0.4540263695128941}",25,0,-160.15968421012687,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.44193167071385786}",20,0,-152.83935983036548,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
30,False,"{'a': 0.9, 'e': 0.43015915967496515}",25,1,-114.26944828484544,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 1}",1
31,False,"{'a': 0.9, 'e': 0.41870025371428954}",25,10,1.6132327542541303,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.40754659878189564}",35,0,-203.74351943949085,"{0: 20, 1: 5, 2: 6, 3: 1, 4: 3}",0
33,False,"{'a': 0.9, 'e': 0.39669006336936674}",20,0,-64.40846385015105,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.9, 'e': 0.38612273258157465}",30,0,-204.36967156137354,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
35,False,"{'a': 0.9, 'e': 0.375836902366371}",30,0,-100.38467715445773,"{0: 20, 1: 7, 2: 1, 3: 0, 4: 2}",0
36,False,"{'a': 0.9, 'e': 0.3658250738979919}",20,0,-158.34551042075853,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
37,False,"{'a': 0.9, 'e': 0.35607994811008165}",25,0,-85.43210276083111,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.9, 'e': 0.34659442037435045}",25,0,-104.81664703050637,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
39,False,"{'a': 0.9, 'e': 0.3373615753209857}",20,0,-38.036550220943205,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
40,False,"{'a': 0.9, 'e': 0.3283746817970407}",20,0,-162.98632795761714,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
